timestamp,latitude,longitude,speed(m/s)
1577219584,-27.69055979,-51.12846547,5.2757263
1577219585,-27.69054206,-51.12841589,5.2100463
1577219591,-27.69041461,-51.12804551,6.971216
1577219592,-27.69039197,-51.12797863,7.0057178
1577219593,-27.69036806,-51.12791556,6.81206
1577219594,-27.69034598,-51.12785926,6.1214347
1577219595,-27.69032649,-51.12780234,5.98688
1577219596,-27.69030919,-51.12774537,5.9548664
1577219597,-27.69029254,-51.12768586,6.2605495
1577219598,-27.6902743,-51.12762275,6.5661964
1577219599,-27.69025626,-51.12756024,6.504758
1577219600,-27.69023984,-51.1275023,6.027662
1577219601,-27.69022534,-51.12745085,5.3507566
1577219602,-27.69021026,-51.12740335,4.985667
1577219603,-27.69019141,-51.12736397,4.398064
1577219604,-27.69016763,-51.1273347,3.9156532
1577219605,-27.69013586,-51.12731813,3.8799639
1577219606,-27.69010097,-51.12730308,4.144481
1577219607,-27.69006147,-51.127328,4.749297
1577219608,-27.69002841,-51.12736931,5.3305426
1577219609,-27.68999703,-51.12741545,5.6422906
1577219610,-27.68996337,-51.12746286,5.9068413
1577219611,-27.68992523,-51.12750966,6.1206555
1577219612,-27.68988533,-51.12755785,6.3756757
1577219613,-27.68984112,-51.12760944,6.721098
1577219614,-27.68979037,-51.12765164,6.5679107
1577219615,-27.68973911,-51.12768927,6.46892
1577219616,-27.68968475,-51.12771922,6.5401073
1577219617,-27.68962953,-51.12774803,6.7919507
1577219618,-27.68956883,-51.12777478,7.0373883
1577219619,-27.68950699,-51.12780397,7.20925
1577219620,-27.68944905,-51.12783184,6.8701634
1577219621,-27.68939407,-51.12785426,6.433614
1577219622,-27.68934065,-51.127877,5.700705
1577219623,-27.6892974,-51.12789277,4.9268594
1577219624,-27.68926828,-51.12790499,3.350727
1577219625,-27.68924887,-51.12791365,2.4046617
1577219626,-27.68922979,-51.12792368,2.3260925
1577219627,-27.68920331,-51.12793495,3.125273
1577219628,-27.68916709,-51.12795066,4.3531704
1577219629,-27.68912666,-51.12796637,4.74085
1577219630,-27.68908253,-51.1279852,5.323511
1577219631,-27.68903198,-51.12800615,5.841589
1577219632,-27.68897653,-51.12803022,6.539442
1577219633,-27.68891752,-51.12805862,7.0813847
1577219634,-27.68885795,-51.12808834,7.1541653
1577219635,-27.68879731,-51.12811989,7.3574214
1577219636,-27.68873547,-51.12815263,7.5524096
1577219637,-27.68867543,-51.12818989,7.5743175
1577219638,-27.68862078,-51.12822967,7.2252607
1577219639,-27.68856445,-51.12826294,6.996928
1577219640,-27.68850463,-51.12829426,7.2415323
1577219641,-27.68844228,-51.12832803,7.5935163
1577219642,-27.68837868,-51.12836125,7.7091813
1577219643,-27.68831482,-51.12839427,7.776797
1577219644,-27.68825157,-51.12842875,7.8227654
1577219645,-27.68818906,-51.12846561,7.847318
1577219646,-27.6881288,-51.12850415,7.6816063
1577219647,-27.68806865,-51.12854275,7.658585
1577219648,-27.68800798,-51.12858087,7.68452
1577219649,-27.68794846,-51.12862329,7.7011466
1577219650,-27.68788854,-51.12866335,7.640269
1577219651,-27.68782605,-51.12870189,7.749636
1577219652,-27.68776363,-51.12873878,7.78559
1577219653,-27.68770345,-51.12877323,7.3991356
1577219654,-27.68764806,-51.12880248,6.7652197
1577219655,-27.68759343,-51.12883068,6.4436946
1577219656,-27.68753996,-51.1288657,6.9255853
1577219657,-27.68748802,-51.12890201,6.976766
1577219658,-27.68743423,-51.12893825,7.2778177
1577219659,-27.68737892,-51.12897335,7.224838
